exchange,type,table,base,quote,usd_volume
Binance,spot,binance_btc_usdt_1m,btc,usdt,2376084830.7308884
Binance,spot,binance_chess_usdc_1m,chess,usdc,41898.2285565
Binance,spot,binance_egld_usdc_1m,egld,usdc,1600117.1078500003
Binance,spot,binance_osmo_usdc_1m,osmo,usdc,81659.8185345
Binance,spot,binance_utk_usdc_1m,utk,usdc,23505.693539999997
Binance,spot,binance_t_usdc_1m,t,usdc,67761.357419
Binance,spot,binance_velodrome_usdc_1m,velodrome,usdc,53222.046845000004
Binance,spot,binance_epic_usdt_1m,epic,usdt,857341.3753
Binance,spot,binance_df_usdc_1m,df,usdc,18100.03961
Binance,spot,binance_epic_usdc_1m,epic,usdc,108199.15044999999
Binance,spot,binance_gmx_usdc_1m,gmx,usdc,310757.52483999997
Binance,spot,binance_bmt_usdc_1m,bmt,usdc,64573.86318000001
Binance,spot,binance_form_usdt_1m,form,usdt,20034616.471740004
Binance,spot,binance_lpt_usdc_1m,lpt,usdc,77876.82190499999
Binance,spot,binance_rvn_usdc_1m,rvn,usdc,144507.01015049996
Binance,spot,binance_syrup_usdc_1m,syrup,usdc,834210.3580499999
Binance,spot,binance_kmno_usdt_1m,kmno,usdt,1051960.1815499999
Binance,spot,binance_kmno_usdc_1m,kmno,usdc,150112.87626
Binance,spot,binance_sxt_usdt_1m,sxt,usdt,1087102.6300300001
Binance,spot,binance_nil_usdc_1m,nil,usdc,77619.54732499999
Binance,spot,binance_parti_usdt_1m,parti,usdt,885811.4826950001
Binance,spot,binance_broccoli714_usdt_1m,broccoli714,usdt,2294781.3502499997
Binance,spot,binance_tut_usdc_1m,tut,usdc,799490.3984049999
Binance,spot,binance_bananas31_usdt_1m,bananas31,usdt,1241770.1167575
Binance,spot,binance_bananas31_usdc_1m,bananas31,usdc,205428.59443
Binance,spot,binance_broccoli714_usdc_1m,broccoli714,usdc,300089.2416750001
Binance,spot,binance_vet_usdc_1m,vet,usdc,859350.4327270001
Binance,spot,binance_zen_usdc_1m,zen,usdc,1149334.7844750003
Binance,spot,binance_baby_usdc_1m,baby,usdc,155800.77524000002
Binance,spot,binance_ondo_usdt_1m,ondo,usdt,20102469.980945002
Binance,spot,binance_ondo_usdc_1m,ondo,usdc,2211743.577335
Binance,spot,binance_bigtime_usdt_1m,bigtime,usdt,1058477.4619699998
Binance,spot,binance_wct_usdt_1m,wct,usdt,1843150.286155
Binance,spot,binance_paxg_usdc_1m,paxg,usdc,1154528.2598195
Binance,spot,binance_ach_usdc_1m,ach,usdc,264617.09112500004
Binance,spot,binance_gmt_usdc_1m,gmt,usdc,160302.779025
Binance,spot,binance_hyper_usdt_1m,hyper,usdt,1567929.33802
Binance,spot,binance_hyper_usdc_1m,hyper,usdc,285455.50295
Binance,spot,binance_init_usdt_1m,init,usdt,2006944.36331
Binance,spot,binance_init_usdc_1m,init,usdc,366918.60143000004
Binance,spot,binance_bnb_usdt_1m,bnb,usdt,393268721.36947
Binance,spot,binance_eth_usdt_1m,eth,usdt,1413248610.8293486
Binance,spot,binance_cvc_usdc_1m,cvc,usdc,35509.76335
Binance,spot,binance_bmt_usdt_1m,bmt,usdt,1852573.744125
Binance,spot,binance_xusd_usdt_1m,xusd,usdt,130454.9652
Binance,spot,binance_iota_usdc_1m,iota,usdc,477166.64225
Binance,spot,binance_juv_usdc_1m,juv,usdc,97780.09045
Binance,spot,binance_the_usdc_1m,the,usdc,419174.97844
Binance,spot,binance_vanry_usdc_1m,vanry,usdc,181751.49445000003
Binance,spot,binance_ltc_usdt_1m,ltc,usdt,84730710.05738
Binance,spot,binance_mubarak_usdc_1m,mubarak,usdc,314237.94124650006
Binance,spot,binance_gun_usdt_1m,gun,usdt,775603.0454
Binance,spot,binance_theta_usdc_1m,theta,usdc,539123.57585
Binance,spot,binance_api3_usdc_1m,api3,usdc,91802.806235
Binance,spot,binance_auction_usdc_1m,auction,usdc,135475.15569999997
Binance,spot,binance_banana_usdc_1m,banana,usdc,135123.69666
Binance,spot,binance_gun_usdc_1m,gun,usdc,32559.271865
Binance,spot,binance_baby_usdt_1m,baby,usdt,1368925.8546149998
Binance,spot,binance_bigtime_usdc_1m,bigtime,usdc,43429.308059999996
Binance,spot,binance_virtual_usdc_1m,virtual,usdc,694625.9497450001
Binance,spot,binance_kernel_usdc_1m,kernel,usdc,290275.26263500005
Binance,spot,binance_kernel_usdt_1m,kernel,usdt,1881722.7975399997
Binance,spot,binance_sign_usdc_1m,sign,usdc,112787.369965
Binance,spot,binance_sto_usdc_1m,sto,usdc,477121.54592999996
Binance,spot,binance_tusd_usdt_1m,tusd,usdt,1555208.91495
Binance,spot,binance_xlm_usdt_1m,xlm,usdt,24612044.779549994
Binance,spot,binance_neo_usdt_1m,neo,usdt,5276454.487864999
Binance,spot,binance_trx_usdt_1m,trx,usdt,62129030.826195
Binance,spot,binance_icx_usdt_1m,icx,usdt,1224881.0329899997
Binance,spot,binance_vet_usdt_1m,vet,usdt,8329089.6020655
Binance,spot,binance_eth_usdc_1m,eth,usdc,421717154.26483506
Binance,spot,binance_xrp_usdc_1m,xrp,usdc,131195603.43418498
Binance,spot,binance_xlm_usdc_1m,xlm,usdc,5498869.269149999
Binance,spot,binance_usdc_usdt_1m,usdc,usdt,1356191732.5987003
Binance,spot,binance_ong_usdt_1m,ong,usdt,564569.7162799999
Binance,spot,binance_hot_usdt_1m,hot,usdt,1361906.8543525
Binance,spot,binance_zil_usdt_1m,zil,usdt,1328338.2116744998
Binance,spot,binance_fet_usdt_1m,fet,usdt,18769020.0272
Binance,spot,binance_bat_usdt_1m,bat,usdt,927499.8447
Binance,spot,binance_ada_usdc_1m,ada,usdc,33337652.844155002
Binance,spot,binance_neo_usdc_1m,neo,usdc,548457.5043350001
Binance,spot,binance_dash_usdt_1m,dash,usdt,6473607.445929999
Binance,spot,binance_atom_usdt_1m,atom,usdt,9210779.482670002
Binance,spot,binance_atom_usdc_1m,atom,usdc,1539564.8098000002
Binance,spot,binance_etc_usdc_1m,etc,usdc,705362.7301
Binance,spot,binance_one_usdt_1m,one,usdt,1512673.1052955
Binance,spot,binance_algo_usdt_1m,algo,usdt,8443046.09365
Binance,spot,binance_ont_usdc_1m,ont,usdc,173044.9741
Binance,spot,binance_win_usdt_1m,win,usdt,636025.52926053
Binance,spot,binance_band_usdt_1m,band,usdt,920334.2024499999
Binance,spot,binance_hbar_usdt_1m,hbar,usdt,28940485.78903
Binance,spot,binance_stx_usdt_1m,stx,usdt,2835307.3666
Binance,spot,binance_kava_usdt_1m,kava,usdt,6180118.7056100005
Binance,spot,binance_iotx_usdt_1m,iotx,usdt,4920682.3856755
Binance,spot,binance_rlc_usdt_1m,rlc,usdt,614374.75305
Binance,spot,binance_bch_usdt_1m,bch,usdt,25768260.0164
Binance,spot,binance_bch_usdc_1m,bch,usdc,3359235.39485
Binance,spot,binance_btc_eur_1m,btc,eur,65745565.936517455
Binance,spot,binance_bnb_eur_1m,bnb,eur,4089809.352025
Binance,spot,binance_ogn_usdt_1m,ogn,usdt,710439.8633
Binance,spot,binance_bnt_usdt_1m,bnt,usdt,385553.07718499994
Binance,spot,binance_enj_usdt_1m,enj,usdt,1562652.5531094996
Binance,spot,binance_coti_usdt_1m,coti,usdt,1061371.578896
Binance,spot,binance_sol_usdt_1m,sol,usdt,368991234.9262
Binance,spot,binance_ctsi_usdt_1m,ctsi,usdt,1004812.53245
Binance,spot,binance_doge_usdc_1m,doge,usdc,34749009.807865
Binance,spot,binance_hive_usdt_1m,hive,usdt,607607.4833500001
Binance,spot,binance_chr_usdt_1m,chr,usdt,1347896.45585
Binance,spot,binance_mdt_usdt_1m,mdt,usdt,215011.54618349997
Binance,spot,binance_cos_usdt_1m,cos,usdt,565506.01640325
Binance,spot,binance_zen_usdt_1m,zen,usdt,9802824.509709997
Binance,spot,binance_snx_usdt_1m,snx,usdt,3546095.4044
Binance,spot,binance_cvc_usdt_1m,cvc,usdt,895699.6473
Binance,spot,binance_storj_usdt_1m,storj,usdt,619977.8066
Binance,spot,binance_rvn_usdt_1m,rvn,usdt,1601441.3093295002
Binance,spot,binance_mana_usdt_1m,mana,usdt,3100837.8953500004
Binance,spot,binance_ftt_usdt_1m,ftt,usdt,1296591.4702784999
Binance,spot,binance_sand_usdt_1m,sand,usdt,5726322.383549999
Binance,spot,binance_dot_usdt_1m,dot,usdt,37429709.539956495
Binance,spot,binance_luna_usdt_1m,luna,usdt,1958346.3378835
Binance,spot,binance_trb_usdt_1m,trb,usdt,6552698.6349100005
Binance,spot,binance_sushi_usdt_1m,sushi,usdt,3187158.4415552
Binance,spot,binance_ksm_usdt_1m,ksm,usdt,1567053.829325
Binance,spot,binance_egld_usdt_1m,egld,usdt,3245266.29115
Binance,spot,binance_rune_usdt_1m,rune,usdt,6831301.629249999
Binance,spot,binance_fio_usdt_1m,fio,usdt,524238.81415
Binance,spot,binance_uma_usdt_1m,uma,usdt,1039738.22005
Binance,spot,binance_bel_usdt_1m,bel,usdt,758283.0204500001
Binance,spot,binance_sun_usdt_1m,sun,usdt,4836029.6199
Binance,spot,binance_avax_usdt_1m,avax,usdt,76833546.36840001
Binance,spot,binance_utk_usdt_1m,utk,usdt,488857.2072499999
Binance,spot,binance_near_usdt_1m,near,usdt,29516917.9872
Binance,spot,binance_inj_usdt_1m,inj,usdt,13039503.12335
Binance,spot,binance_ctk_usdt_1m,ctk,usdt,560187.912845
Binance,spot,binance_ltc_eur_1m,ltc,eur,743364.24325
Binance,spot,binance_rose_usdt_1m,rose,usdt,3316703.4518615
Binance,spot,binance_ava_usdt_1m,ava,usdt,966206.593875
Binance,spot,binance_bch_eur_1m,bch,eur,280718.3088
Binance,spot,binance_ens_usdt_1m,ens,usdt,12465977.2038
Binance,spot,binance_grt_usdt_1m,grt,usdt,4285013.4816499995
Binance,spot,binance_1inch_usdt_1m,1inch,usdt,1882200.3225300002
Binance,spot,binance_og_usdt_1m,og,usdt,1846600.6674000004
Binance,spot,binance_atm_usdt_1m,atm,usdt,632504.9437
Binance,spot,binance_celo_usdt_1m,celo,usdt,2042222.34255
Binance,spot,binance_twt_usdt_1m,twt,usdt,5108736.855700001
Binance,spot,binance_doge_eur_1m,doge,eur,1979594.9167850001
Binance,spot,binance_fis_usdt_1m,fis,usdt,625984.85655
Binance,spot,binance_egld_eur_1m,egld,eur,98771.58520000002
Binance,spot,binance_om_usdt_1m,om,usdt,4762147.143859999
Binance,spot,binance_cfx_usdt_1m,cfx,usdt,4854287.7826
Binance,spot,binance_tko_usdt_1m,tko,usdt,968949.759385
Binance,spot,binance_pundix_usdt_1m,pundix,usdt,674047.99364
Binance,spot,binance_win_eur_1m,win,eur,99870.08006048502
Binance,spot,binance_forth_usdt_1m,forth,usdt,326224.43882499996
Binance,spot,binance_shib_usdt_1m,shib,usdt,20807809.64766843
Binance,spot,binance_shib_eur_1m,shib,eur,241724.333730165
Binance,spot,binance_mask_usdt_1m,mask,usdt,3439691.9204500006
Binance,spot,binance_icp_eur_1m,icp,eur,142204.16483999998
Binance,spot,binance_psg_usdt_1m,psg,usdt,583553.099575
Binance,spot,binance_tru_usdt_1m,tru,usdt,1144098.51865
Binance,spot,binance_flow_usdt_1m,flow,usdt,1793667.0747449999
Binance,spot,binance_ray_usdt_1m,ray,usdt,5342612.12745
Binance,spot,binance_quick_usdt_1m,quick,usdt,652848.09781
Binance,spot,binance_ghst_usdt_1m,ghst,usdt,334932.2446
Binance,spot,binance_waxp_usdt_1m,waxp,usdt,525273.314745
Binance,spot,binance_xec_usdt_1m,xec,usdt,766468.00506334
Binance,spot,binance_gala_usdt_1m,gala,usdt,9513485.659094997
Binance,spot,binance_sys_usdt_1m,sys,usdt,506123.39336
Binance,spot,binance_df_usdt_1m,df,usdt,349004.2237
Binance,spot,binance_sol_usdc_1m,sol,usdc,89302408.740545
Binance,spot,binance_tlm_usdt_1m,tlm,usdt,998514.0659249999
Binance,spot,binance_rare_usdt_1m,rare,usdt,1159018.1807300004
